,Date,Defects,Opportunities
0,2016-07,37,222.0
1,2016-08,26,36.0
2,2016-09,66,375.0
3,2016-10,61,494.0
4,2016-11,64,980.33
5,2016-12,104,1297.67
6,2017-01,86,2292.0
7,2017-02,98,2444.67
8,2017-03,130,2460.33
9,2017-04,107,1888.67
10,2017-05,135,1939.67
11,2017-06,158,2173.0
12,2017-07,116,2268.0
13,2017-08,226,2188.0
14,2017-09,171,2299.33
15,2017-10,124,2199.0
16,2017-11,119,2543.0
17,2017-12,146,2779.67
18,2018-01,134,2133.0
19,2018-02,152,2167.33
20,2018-03,170,2143.67
21,2018-04,126,2841.33
22,2018-05,134,3515.67
23,2018-06,243,3214.67
